DIM,DUR_SECONDS
2,0.0095
3,0.0137
4,0.0149
5,0.0122
6,0.0141
7,0.0160
8,0.0192
9,0.0208
10,0.0223
11,0.0271
12,0.0326
13,0.0293
14,0.0303
15,0.0352
16,0.0411
17,0.0459
18,0.0512
19,0.0552
20,0.0587
21,0.0863
22,0.0753
23,0.0671
24,0.0753
25,0.0889
26,0.1057
27,0.0973
28,0.0997
29,0.1122
30,0.1167
31,0.1359
32,0.1269
33,0.1263
34,0.1131
35,0.1281
36,0.1288
37,0.1463
38,0.1465
39,0.1638
40,0.1982
41,0.2025
42,0.1878
43,0.1904
44,0.1947
45,0.2673
46,0.2789
47,0.2478
48,0.2382
49,0.2470
50,0.3095
51,0.2747
52,0.2647
53,0.2844
54,0.3953
55,0.4016
56,0.3143
57,0.3042
58,0.3168
59,0.3369
60,0.3434
61,0.3251
62,0.3964
63,0.3990
64,0.3701
65,0.3965
66,0.4613
67,0.4374
68,0.4246
69,0.4948
70,0.4580
71,0.4539